4138.5,3926.2,4320.5,4017.4,4593.9,4445.6,3931.8,4098.5,4492.3,4620.5,4123.6,4510.3,4744.6,3911.8
4140.5,3929.2,4324.6,4019.5,4601,4447.2,3937.4,4106.1,4504.6,4623.1,4142.6,4515.9,4748.2,3915.9
4139.5,3929.2,4325.1,4020.5,4593.9,4451.8,3940,4102.6,4506.1,4610.8,4137.9,4514.4,4762.6,3913.8
4139,3927.2,4323.6,4017.4,4584.6,4449.7,3940,4090.8,4492.3,4611.3,4121,4507.2,4767.7,3911.8
4140,3925.6,4325.6,4015.9,4593.3,4444.6,3936.4,4088.7,4494.4,4621,4121.5,4506.7,4764.6,3908.2
4139,3926.2,4325.1,4019.5,4604.6,4447.2,3934.9,4090.8,4504.6,4619,4127.7,4507.7,4770.8,3900
4136.9,3928.2,4320,4020.5,4602.1,4455.4,3937.9,4092.8,4504.1,4613.9,4125.1,4506.1,4782.1,3893.8
4137.9,3929.7,4317.4,4017.9,4601,4459.5,3941.5,4099.5,4505.1,4617.9,4123.1,4508.2,4790.8,3902.1
4140.5,3930.8,4321.5,4018.5,4605.1,4459,3940.5,4100.5,4512.3,4617.9,4124.1,4509.7,4796.9,3910.8
4137.9,3928.7,4324.1,4021.5,4603.1,4456.9,3931.3,4086.2,4509.2,4606.1,4123.6,4508.2,4797.9,3902.6
4136.4,3929.7,4317.9,4020.5,4597.9,4457.9,3924.1,4078.5,4504.6,4598.5,4123.6,4505.6,4796.9,3892.3
4139.5,3936.9,4311.3,4018.5,4596.9,4457.9,3928.2,4086.2,4514.9,4606.1,4122.6,4507.2,4800.5,3894.4
4139,3940,4312.3,4018.5,4604.1,4452.8,3938.5,4089.7,4523.6,4616.9,4124.6,4510.3,4802.1,3895.4
4136.4,3939,4316.4,4019,4609.2,4453.9,3943.1,4094.9,4524.1,4617.4,4134.9,4507.7,4800,3894.9
4138.5,3943.1,4321,4019.5,4605.1,4462.1,3944.1,4105.6,4526.1,4616.4,4139,4509.7,4801,3903.6
4140.5,3943.6,4325.1,4020,4599.5,4456.4,3942.6,4104.6,4528.2,4617.4,4127.7,4513.3,4800,3904.1
